reporting_organisation,donor,project_status,governorate,district,sub_district,community,neighbourhood,camp_name,admin1pcode,admin2pcode,admin3pcode,admin4pcode,neighbourhood_pcode,admin5pcode,location_other,village_camps,latitude_y,longitude_x,cluster,response_type,families,female_headed_hh,beneficiaries,men_18_60,women_18_60,boys_18,girls_18,elderly_males_60,elderly_females_60,idps,host_communities,returnees,pwds,previously_assisted,newly_assisted,conditionality,restrictions,cash_delivery_mechanism,voucher_delivery_mechanism,currency,transfer_value,transfer_frequency,num_payments,fx_rate,total_value_per_hh,total_usd,targeting_criteria,start_date,end_date,comments,contact_person,position,email,phone,month_of_activity,abbreviation,implementing_partner,activity,transfer_value_usd
GOAL,BHA,Completed,Aleppo,Afrin,Bulbul,Bali - Koy,NA,NA,SY02,SY0203,SY020301,C1407,NA,NA,NA,NA,36.786385,36.835568,Multipurpose - One time,Earthquake,1,0,6,1,1,3,1,0,NA,1,5,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,150,Blanket,2023-01-03,2023-01-03,NA,Mosab Hajismael,Food Security CVA & Basic Needs Coordinator,mhajismael@sy.goal.ie,5385741577,31-03-2023,GOAL,GOAL (GOAL),Multipurpose Cash Response,150
GOAL,BHA,Completed,Aleppo,Afrin,Bulbul,Beylan,NA,NA,SY02,SY0203,SY020301,C8263,NA,NA,NA,NA,36.680065,36.868352,Multipurpose - One time,Earthquake,4,0,9,1,6,2,0,1,NA,3,6,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,600,Blanket,2023-01-03,2023-01-03,NA,Mosab Hajismael,Food Security CVA & Basic Needs Coordinator,mhajismael@sy.goal.ie,5385741577,31-03-2023,GOAL,GOAL (GOAL),Multipurpose Cash Response,150
GOAL,BHA,Completed,Aleppo,Afrin,Bulbul,Bulbul,NA,NA,SY02,SY0203,SY020301,C1391,NA,NA,Al-Tamayouz Camp,NA,36.769656,36.819347,Multipurpose - One time,Earthquake,255,3,1266,236,272,395,363,12,NA,78,1188,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,38250,Blanket,2023-01-03,2023-01-03,NA,Mosab Hajismael,Food Security CVA & Basic Needs Coordinator,mhajismael@sy.goal.ie,5385741577,31-03-2023,GOAL,GOAL (GOAL),Multipurpose Cash Response,150
GOAL,BHA,Completed,Aleppo,Afrin,Bulbul,Bulbul,NA,NA,SY02,SY0203,SY020301,C1391,NA,NA,NA,NA,36.769656,36.819347,Multipurpose - One time,Earthquake,20,0,72,14,19,20,19,0,NA,19,53,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,3000,Blanket,2023-01-03,2023-01-03,NA,Mosab Hajismael,Food Security CVA & Basic Needs Coordinator,mhajismael@sy.goal.ie,5385741577,31-03-2023,GOAL,GOAL (GOAL),Multipurpose Cash Response,150
GOAL,BHA,Completed,Aleppo,Afrin,Bulbul,Bulbul,NA,NA,SY02,SY0203,SY020301,C1391,NA,NA,NA,NA,36.769656,36.819347,Multipurpose - One time,Earthquake,1,0,6,1,1,3,1,0,NA,1,5,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,150,Blanket,2023-01-03,2023-01-03,NA,Mosab Hajismael,Food Security CVA & Basic Needs Coordinator,mhajismael@sy.goal.ie,5385741577,31-03-2023,GOAL,GOAL (GOAL),Multipurpose Cash Response,150
GOAL,BHA,Completed,Aleppo,Afrin,Bulbul,Dik,NA,NA,SY02,SY0203,SY020301,C1398,NA,NA,NA,NA,36.68495,36.771902,Multipurpose - One time,Earthquake,9,0,46,11,11,6,18,0,NA,8,38,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,1350,Blanket,2023-01-03,2023-01-03,NA,Mosab Hajismael,Food Security CVA & Basic Needs Coordinator,mhajismael@sy.goal.ie,5385741577,31-03-2023,GOAL,GOAL (GOAL),Multipurpose Cash Response,150
GOAL,BHA,Completed,Aleppo,Afrin,Bulbul,Hafatro,NA,NA,SY02,SY0203,SY020301,C8289,NA,NA,NA,NA,36.750149,36.910597,Multipurpose - One time,Earthquake,2,0,10,2,1,2,5,0,NA,2,8,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,300,Blanket,2023-01-03,2023-01-03,NA,Mosab Hajismael,Food Security CVA & Basic Needs Coordinator,mhajismael@sy.goal.ie,5385741577,31-03-2023,GOAL,GOAL (GOAL),Multipurpose Cash Response,150
GOAL,BHA,Completed,Aleppo,Afrin,Bulbul,Hajeb - Qash Ogli,NA,NA,SY02,SY0203,SY020301,C1402,NA,NA,NA,NA,36.716554,36.839372,Multipurpose - One time,Earthquake,7,0,29,6,8,8,7,1,NA,7,22,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,1050,Blanket,2023-01-03,2023-01-03,NA,Mosab Hajismael,Food Security CVA & Basic Needs Coordinator,mhajismael@sy.goal.ie,5385741577,31-03-2023,GOAL,GOAL (GOAL),Multipurpose Cash Response,150
GOAL,BHA,Completed,Aleppo,Afrin,Bulbul,Hozan,NA,NA,SY02,SY0203,SY020301,C1417,NA,NA,NA,NA,36.719551,36.847787,Multipurpose - One time,Earthquake,3,0,18,4,3,2,9,0,NA,3,15,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,450,Blanket,2023-01-03,2023-01-03,NA,Mosab Hajismael,Food Security CVA & Basic Needs Coordinator,mhajismael@sy.goal.ie,5385741577,31-03-2023,GOAL,GOAL (GOAL),Multipurpose Cash Response,150
GOAL,BHA,Completed,Aleppo,Afrin,Bulbul,Khader,NA,NA,SY02,SY0203,SY020301,C1394,NA,NA,NA,NA,36.746339999999996,36.794874,Multipurpose - One time,Earthquake,7,0,35,6,7,11,11,0,NA,7,28,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,1050,Blanket,2023-01-03,2023-01-03,NA,Mosab Hajismael,Food Security CVA & Basic Needs Coordinator,mhajismael@sy.goal.ie,5385741577,31-03-2023,GOAL,GOAL (GOAL),Multipurpose Cash Response,150
GOAL,BHA,Completed,Aleppo,Afrin,Bulbul,Khalil - Khleilak,NA,NA,SY02,SY0203,SY020301,C1404,NA,NA,NA,NA,36.694192,36.806778,Multipurpose - One time,Earthquake,4,0,18,4,3,5,6,1,NA,4,14,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,600,Blanket,2023-01-03,2023-01-03,NA,Mosab Hajismael,Food Security CVA & Basic Needs Coordinator,mhajismael@sy.goal.ie,5385741577,31-03-2023,GOAL,GOAL (GOAL),Multipurpose Cash Response,150
GOAL,BHA,Completed,Aleppo,Afrin,Bulbul,Marwiyeh (Bulbul),NA,NA,SY02,SY0203,SY020301,C1414,NA,NA,NA,NA,36.754304,36.740273,Multipurpose - One time,Earthquake,5,0,23,5,5,11,2,0,NA,5,18,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,750,Blanket,2023-01-03,2023-01-03,NA,Mosab Hajismael,Food Security CVA & Basic Needs Coordinator,mhajismael@sy.goal.ie,5385741577,31-03-2023,GOAL,GOAL (GOAL),Multipurpose Cash Response,150
GOAL,BHA,Completed,Aleppo,Afrin,Bulbul,Mudallala Afrin - Eastern Kotanly,NA,NA,SY02,SY0203,SY020301,C1413,NA,NA,NA,NA,36.694992,36.856109,Multipurpose - One time,Earthquake,21,0,90,22,24,23,21,4,NA,21,69,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,3150,Blanket,2023-01-03,2023-01-03,NA,Mosab Hajismael,Food Security CVA & Basic Needs Coordinator,mhajismael@sy.goal.ie,5385741577,31-03-2023,GOAL,GOAL (GOAL),Multipurpose Cash Response,150
GOAL,BHA,Completed,Aleppo,Afrin,Bulbul,Obudan,NA,NA,SY02,SY0203,SY020301,C1395,NA,NA,NA,NA,36.755138,36.912421,Multipurpose - One time,Earthquake,6,0,30,5,5,8,12,0,NA,6,24,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,900,Blanket,2023-01-03,2023-01-03,NA,Mosab Hajismael,Food Security CVA & Basic Needs Coordinator,mhajismael@sy.goal.ie,5385741577,31-03-2023,GOAL,GOAL (GOAL),Multipurpose Cash Response,150
GOAL,BHA,Completed,Aleppo,Afrin,Bulbul,Qastal Miqdad,NA,NA,SY02,SY0203,SY020301,C1416,NA,NA,NA,NA,36.735095,36.858195,Multipurpose - One time,Earthquake,11,0,38,7,12,9,10,1,NA,11,27,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,1650,Blanket,2023-01-03,2023-01-03,NA,Mosab Hajismael,Food Security CVA & Basic Needs Coordinator,mhajismael@sy.goal.ie,5385741577,31-03-2023,GOAL,GOAL (GOAL),Multipurpose Cash Response,150
GOAL,BHA,Completed,Aleppo,Afrin,Bulbul,Qorna,NA,NA,SY02,SY0203,SY020301,C1418,NA,NA,NA,NA,36.773013,36.841616,Multipurpose - One time,Earthquake,5,0,26,5,5,9,7,0,NA,5,21,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,750,Blanket,2023-01-03,2023-01-03,NA,Mosab Hajismael,Food Security CVA & Basic Needs Coordinator,mhajismael@sy.goal.ie,5385741577,31-03-2023,GOAL,GOAL (GOAL),Multipurpose Cash Response,150
GOAL,BHA,Completed,Aleppo,Afrin,Bulbul,Qotan,NA,NA,SY02,SY0203,SY020301,C1415,NA,NA,NA,NA,36.71059,36.800224,Multipurpose - One time,Earthquake,1,0,5,1,1,1,2,0,NA,1,4,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,150,Blanket,2023-01-03,2023-01-03,NA,Mosab Hajismael,Food Security CVA & Basic Needs Coordinator,mhajismael@sy.goal.ie,5385741577,31-03-2023,GOAL,GOAL (GOAL),Multipurpose Cash Response,150
GOAL,BHA,Completed,Aleppo,Afrin,Bulbul,Ras Ahmar,NA,NA,SY02,SY0203,SY020301,C1403,NA,NA,NA,NA,36.685469,36.87367,Multipurpose - One time,Earthquake,13,0,60,15,14,14,17,0,NA,9,51,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,1950,Blanket,2023-01-03,2023-01-03,NA,Mosab Hajismael,Food Security CVA & Basic Needs Coordinator,mhajismael@sy.goal.ie,5385741577,31-03-2023,GOAL,GOAL (GOAL),Multipurpose Cash Response,150
GOAL,BHA,Completed,Aleppo,Afrin,Bulbul,Sagher - Sagher Oba Si,NA,NA,SY02,SY0203,SY020301,C1405,NA,NA,NA,NA,36.702701,36.780396,Multipurpose - One time,Earthquake,3,0,16,3,3,4,6,0,NA,3,13,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,450,Blanket,2023-01-03,2023-01-03,NA,Mosab Hajismael,Food Security CVA & Basic Needs Coordinator,mhajismael@sy.goal.ie,5385741577,31-03-2023,GOAL,GOAL (GOAL),Multipurpose Cash Response,150
GOAL,BHA,Completed,Aleppo,Afrin,Bulbul,Samha Kilani,NA,NA,SY02,SY0203,SY020301,C1392,NA,NA,NA,NA,36.704002,36.766974,Multipurpose - One time,Earthquake,6,0,26,5,6,8,7,1,NA,5,21,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,900,Blanket,2023-01-03,2023-01-03,NA,Mosab Hajismael,Food Security CVA & Basic Needs Coordinator,mhajismael@sy.goal.ie,5385741577,31-03-2023,GOAL,GOAL (GOAL),Multipurpose Cash Response,150
GOAL,BHA,Completed,Aleppo,Afrin,Bulbul,Sara,NA,NA,SY02,SY0203,SY020301,C1400,NA,NA,NA,NA,36.773024,36.782773,Multipurpose - One time,Earthquake,1,0,2,1,1,0,0,1,NA,0,2,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,150,Blanket,2023-01-03,2023-01-03,NA,Mosab Hajismael,Food Security CVA & Basic Needs Coordinator,mhajismael@sy.goal.ie,5385741577,31-03-2023,GOAL,GOAL (GOAL),Multipurpose Cash Response,150
GOAL,BHA,Completed,Aleppo,Afrin,Bulbul,Tafla,NA,NA,SY02,SY0203,SY020301,C1412,NA,NA,NA,NA,36.71764,36.821162,Multipurpose - One time,Earthquake,4,0,14,4,5,3,2,1,NA,4,10,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,600,Blanket,2023-01-03,2023-01-03,NA,Mosab Hajismael,Food Security CVA & Basic Needs Coordinator,mhajismael@sy.goal.ie,5385741577,31-03-2023,GOAL,GOAL (GOAL),Multipurpose Cash Response,150
GOAL,BHA,Completed,Aleppo,Afrin,Bulbul,Yabseh (Bulbul),NA,NA,SY02,SY0203,SY020301,C1401,NA,NA,NA,NA,36.686656,36.834377,Multipurpose - One time,Earthquake,15,0,58,12,14,17,15,2,NA,15,43,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,2250,Blanket,2023-01-03,2023-01-03,NA,Mosab Hajismael,Food Security CVA & Basic Needs Coordinator,mhajismael@sy.goal.ie,5385741577,31-03-2023,GOAL,GOAL (GOAL),Multipurpose Cash Response,150
GOAL,BHA,Completed,Aleppo,Afrin,Bulbul,Za'ra,NA,NA,SY02,SY0203,SY020301,C1406,NA,NA,NA,NA,36.785448,36.803246,Multipurpose - One time,Earthquake,1,0,9,1,1,3,4,0,NA,1,8,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,150,Blanket,2023-01-03,2023-01-03,NA,Mosab Hajismael,Food Security CVA & Basic Needs Coordinator,mhajismael@sy.goal.ie,5385741577,31-03-2023,GOAL,GOAL (GOAL),Multipurpose Cash Response,150
GOAL,BHA,Completed,Aleppo,Afrin,Bulbul,Zfnek,NA,NA,SY02,SY0203,SY020301,C6396,NA,NA,NA,NA,36.686444,36.789733,Multipurpose - One time,Earthquake,8,0,37,7,8,14,8,1,NA,8,29,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,1200,Blanket,2023-01-03,2023-01-03,NA,Mosab Hajismael,Food Security CVA & Basic Needs Coordinator,mhajismael@sy.goal.ie,5385741577,31-03-2023,GOAL,GOAL (GOAL),Multipurpose Cash Response,150
GOAL,BHA,Completed,Idleb,Harim,Harim,Besnaya - Bseineh,NA,NA,SY07,SY0703,SY070300,C4116,NA,NA,NA,NA,36.177439,36.490048,Multipurpose - One time,Earthquake,365,0,1844,436,426,512,470,52,NA,2,1842,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,54750,Blanket,2023-01-04,2023-01-04,NA,Mosab Hajismael,Food Security CVA & Basic Needs Coordinator,mhajismael@sy.goal.ie,5385741577,30-04-2023,GOAL,GOAL (GOAL),Multipurpose Cash Response,150
GOAL,BHA,Completed,Idleb,Harim,Harim,Harim,NA,NA,SY07,SY0703,SY070300,C4115,NA,NA,NA,NA,36.212594,36.520746,Multipurpose - One time,Earthquake,2161,6,10253,2310,2649,2709,2585,376,NA,120,10133,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,324150,Blanket,2023-01-02,2023-01-02,NA,Mosab Hajismael,Food Security CVA & Basic Needs Coordinator,mhajismael@sy.goal.ie,5385741577,28-02-2023,GOAL,GOAL (GOAL),Multipurpose Cash Response,150
GOAL,BHA,Completed,Idleb,Harim,Harim,Harim,NA,NA,SY07,SY0703,SY070300,C4115,NA,NA,NA,NA,36.212594,36.520746,Multipurpose - One time,Earthquake,2759,3,12905,2870,3203,3514,3318,436,NA,282,12623,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,413850,Blanket,2023-01-03,2023-01-03,NA,Mosab Hajismael,Food Security CVA & Basic Needs Coordinator,mhajismael@sy.goal.ie,5385741577,31-03-2023,GOAL,GOAL (GOAL),Multipurpose Cash Response,150
GOAL,BHA,Completed,Idleb,Harim,Harim,Harim,NA,NA,SY07,SY0703,SY070300,C4115,NA,NA,NA,NA,36.212594,36.520746,Multipurpose - One time,Earthquake,134,0,649,133,157,181,178,12,NA,3,646,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,20100,Blanket,2023-01-04,2023-01-04,NA,Mosab Hajismael,Food Security CVA & Basic Needs Coordinator,mhajismael@sy.goal.ie,5385741577,30-04-2023,GOAL,GOAL (GOAL),Multipurpose Cash Response,150
GOAL,BHA,Completed,Aleppo,Afrin,Jandairis,Burj Kmush,NA,NA,SY02,SY0203,SY020302,C1428,NA,NA,NA,NA,36.429095,36.711932,Multipurpose - One time,Earthquake,77,0,358,73,85,108,92,12,NA,29,329,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,11550,Blanket,2023-01-02,2023-01-02,NA,Mosab Hajismael,Food Security CVA & Basic Needs Coordinator,mhajismael@sy.goal.ie,5385741577,28-02-2023,GOAL,GOAL (GOAL),Multipurpose Cash Response,150
GOAL,BHA,Completed,Aleppo,Afrin,Jandairis,Dakhm,NA,NA,SY02,SY0203,SY020302,C1423,NA,NA,NA,NA,36.437599,36.741218,Multipurpose - One time,Earthquake,91,2,475,110,128,126,111,22,NA,6,469,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,13650,Blanket,2023-01-03,2023-01-03,NA,Mosab Hajismael,Food Security CVA & Basic Needs Coordinator,mhajismael@sy.goal.ie,5385741577,31-03-2023,GOAL,GOAL (GOAL),Multipurpose Cash Response,150
GOAL,BHA,Completed,Aleppo,Afrin,Jandairis,Deir Ballut,NA,NA,SY02,SY0203,SY020302,C1435,NA,NA,NA,NA,36.339706,36.664883,Multipurpose - One time,Earthquake,42,0,219,50,50,68,51,4,NA,4,215,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,6300,Blanket,2023-01-03,2023-01-03,NA,Mosab Hajismael,Food Security CVA & Basic Needs Coordinator,mhajismael@sy.goal.ie,5385741577,31-03-2023,GOAL,GOAL (GOAL),Multipurpose Cash Response,150
GOAL,BHA,Completed,Aleppo,Afrin,Jandairis,Eastern Eshkan,NA,NA,SY02,SY0203,SY020302,C1441,NA,NA,NA,NA,36.460964,36.732657,Multipurpose - One time,Earthquake,51,0,270,58,59,85,68,6,NA,38,232,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,7650,Blanket,2023-01-02,2023-01-02,NA,Mosab Hajismael,Food Security CVA & Basic Needs Coordinator,mhajismael@sy.goal.ie,5385741577,28-02-2023,GOAL,GOAL (GOAL),Multipurpose Cash Response,150
GOAL,BHA,Completed,Aleppo,Afrin,Jandairis,Haji Hasanli,NA,NA,SY02,SY0203,SY020302,C8184,NA,NA,NA,NA,36.484728,36.653081,Multipurpose - One time,Earthquake,70,0,305,79,90,63,73,16,NA,5,300,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,10500,Blanket,2023-01-02,2023-01-02,NA,Mosab Hajismael,Food Security CVA & Basic Needs Coordinator,mhajismael@sy.goal.ie,5385741577,28-02-2023,GOAL,GOAL (GOAL),Multipurpose Cash Response,150
GOAL,BHA,Completed,Aleppo,Afrin,Jandairis,Haji Hasanli,NA,NA,SY02,SY0203,SY020302,C8184,NA,NA,NA,NA,36.484728,36.653081,Multipurpose - One time,Earthquake,28,0,151,35,39,39,38,2,NA,7,144,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,4200,Blanket,2023-01-02,2023-01-02,NA,Mosab Hajismael,Food Security CVA & Basic Needs Coordinator,mhajismael@sy.goal.ie,5385741577,28-02-2023,GOAL,GOAL (GOAL),Multipurpose Cash Response,150
GOAL,BHA,Completed,Aleppo,Afrin,Jandairis,Jum Afrin,NA,NA,SY02,SY0203,SY020302,C1421,NA,NA,NA,NA,36.451901,36.713316,Multipurpose - One time,Earthquake,59,0,250,61,69,61,59,12,NA,28,222,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,One-off,1,1,150,8850,Blanket,2023-01-03,2023-01-03,NA,Mosab Hajismael,Food Security CVA & Basic Needs Coordinator,mhajismael@sy.goal.ie,5385741577,31-03-2023,GOAL,GOAL (GOAL),Multipurpose Cash Response,150
